,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba
0,Aaron Gordon,United States,,Denver Nuggets,32,PF,,2-Way Interior Scorer,"6'8""",203,235,106,"7'0""",213,22841455,11,"September 16, 1995","San Jose, California",Arizona
1,Aaron Holiday,United States,,Houston Rockets,0,PG,SG,Perimeter Shot Creator,"6'0""",183,185,83,"6'8""",203,4668000,7,"September 30, 1996","Ruston, Louisiana",UCLA
2,Aaron Nesmith,United States,,Indiana Pacers,23,SF,PF,2-Way Catch & Shoot Ace,"6'5""",196,215,97,"6'10""",208,11000000,5,"October 16, 1999","Charleston, South Carolina",Vanderbilt Commodores
3,Aaron Wiggins,United States,,Oklahoma City Thunder,21,PF,SF,Inside-Out Scoring Threat,"6'5""",196,190,86,"6'10""",208,10514017,4,"January 2, 1999","Greensboro, North Carolina",Maryland
4,Adam Flagler,United States,,Oklahoma City Thunder,14,SG,PG,Catch & Shoot Threat,"6'3""",191,180,81,"6'5""",196,,2,"December 1, 1999","Duluth, Georgia, U.S.",Baylor
5,Adama Sanogo,Mali,,Chicago Bulls,21,C,PF,Rebounder,"6'9""",206,245,110,"7'3""",221,,2,"February 12, 2002","Bamako, Mali",UConn
6,Adem Bona,Nigeria,Turkey,Philadelphia 76ers,30,C,,Interior Threat,"6'10""",208,245,110,"7'0""",213,,1,"March 28, 2003","Lagos, Nigeria",UCLA
7,A.J. Green,United States,,Milwaukee Bucks,20,SG,SF,Catch & Shoot Ace,"6'4""",193,190,86,"6'7""",201,2120693,3,"September 27, 1999","Cedar Falls, Iowa",Northern Iowa
8,AJ Johnson,United States,,Milwaukee Bucks,77,SG,PG,Mid-Range Shot Creator,"6'5""",196,160,72,"6'9""",206,2795294,1,"December 1, 2004","Woodland Hills, California",SoCal Academy
9,A.J. Lawson,Canada,,Dallas Mavericks,9,SG,SF,Ball Hawk,"6'6""",198,179,81,"6'7""",201,2120693,4,"July 15, 2000","Toronto, Canada",South Carolina
10,Ajay Mitchell,Belgium,,Oklahoma City Thunder,25,SG,PG,3PT Shot Creator,"6'5""",196,190,86,"6'9""",206,,1,"June 25, 2002","Ans, Belgium",UC Santa Barbara
11,Al Horford,Dominican Republic,,Boston Celtics,42,PF,C,2-Way 3-Level Scoring Threat,"6'9""",206,240,108,"7'1""",216,9500000,18,"June 3, 1986","Puerto Plata, Dominican Republic",Florida
12,Alec Burks,United States,,Miami Heat,18,SG,SF,Shot-Creating 3-Level Threat,"6'6""",198,214,96,"6'10""",208,2087519,14,"July 20, 1991","Grandview, Missouri",Colorado
13,Alex Caruso,United States,,Oklahoma City Thunder,9,SG,SF,3 & D Two Guard,"6'5""",196,186,84,"6'6""",198,9890000,9,"February 28, 1994","College Station, Texas",Texas A&M
14,Alex Len,Ukraine,,Sacramento Kings,25,C,,Board-Hunting Lob Threat,"7'0""",213,250,113,"7'4""",224,2087519,12,"June 16, 1993","Antratsyt, Ukraine",Maryland
15,Alexandre Sarr,France,,Washington Wizards,20,PF,C,Rim Attacker,"7'1""",216,205,92,"7'5""",226,11245680,1,"April 26, 2005","Bordeaux, France","Perth Wildcats (NBL, Australia)"
16,Alperen Sengun,Turkey,,Houston Rockets,28,C,,Inside the Arc Threat,"6'11""",211,243,109,"7'2""",218,5424654,4,"July 25, 2002","Giresun, Turkey",Turkey
