,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,years_in_the_wnba,birthdate,hometown,prior_to_wnba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
0,Aaliyah Edwards,Canada,,Connecticut Sun,24,PF,C,Paint Protector,"6'3""",191,185,83,"6'7""",201,1,"July 9, 2002",,UConn,80,74,89,71,40,68,98,80,73,61,57,74,64,90,83,80,64,84,25,25,70,65,75,71,98,50,39,58,55,58,40,64,71,55,46,76,68,65,70,71,62,79,90,89,2489,,,,,,,,,silver,silver,bronze,silver,,silver,,,,,,,,,,,,,,silver,,bronze,,,,,bronze,,,bronze,,
1,Aari McDonald,United States,,Indiana Fever,2,PG,SG,Playmaking 3PT Threat,"5'6""",168,141,63,"5'9""",175,4,"August 20, 1998","Fresno, California",Arizona,78,75,70,43,78,84,98,75,73,93,73,39,65,80,80,80,44,72,25,25,25,25,44,35,98,84,81,85,90,85,80,67,40,73,63,35,86,85,85,40,37,43,98,79,2452,,,,,,,,,,,,,,,,,,bronze,,silver,bronze,,,,,,,,,,,,,,,,,,,
2,A’ja Wilson,United States,,Las Vegas Aces,22,PF,C,All-Around Star,"6'4""",193,195,88,"6'8""",203,7,"August 8, 1996","Columbia, South Carolina",South Carolina,97,92,98,94,81,84,98,98,86,72,83,89,81,98,98,80,79,97,25,25,96,96,97,98,98,73,64,89,64,89,59,92,96,84,87,89,95,92,98,92,89,94,98,99,3172,,,bronze,gold,silver,,gold,hof,gold,hof,hof,hof,hof,hof,,,bronze,,silver,,,,gold,silver,,gold,,gold,bronze,silver,silver,silver,hof,,gold,hof,gold,hof,,gold
3,Alanna Smith,Australia,,Minnesota Lynx,8,PF,C,2-Way Inside-Out Shot Creator,"6'4""",193,180,81,"6'8""",203,6,"September 10, 1996","Tasmania, Australia",Stanford,87,81,85,54,89,77,98,85,82,79,79,84,60,95,98,80,61,82,25,25,63,51,70,72,98,72,75,71,72,71,69,82,91,71,71,80,85,81,95,67,65,68,98,88,2800,silver,silver,silver,silver,bronze,,gold,,gold,,silver,,,,,,,,,,,,,,,bronze,bronze,gold,,bronze,,silver,gold,gold,gold,bronze,silver,silver,,silver
4,Aliyah Boston,United States,,Indiana Fever,7,PF,C,2-Way Slashing Shot Creator,"6'5""",196,220,99,"6'9""",206,2,"December 11, 2001","St. Thomas, Virgin Islands",South Carolina,89,81,92,77,55,69,98,95,78,55,62,90,67,97,98,80,72,89,25,25,88,86,89,75,98,66,70,74,50,74,62,75,89,55,41,80,83,84,95,82,83,80,98,89,2817,,,,,,,,silver,silver,silver,gold,silver,gold,gold,,,,,silver,,,,,,,,,silver,silver,,,,silver,,gold,gold,gold,silver,,
5,Allisha Gray,United States,,Atlanta Dream,15,SG,SF,2-Way Inside-Out Combo Guard,"6'0""",183,167,75,"6'4""",193,8,"January 12, 1995","Greenwood, South Carolina",South Carolina,85,87,84,80,84,77,98,98,80,85,86,52,68,95,95,80,61,84,25,25,55,55,55,93,98,82,84,88,84,88,67,71,60,82,46,56,84,86,85,44,40,48,85,85,2740,,bronze,,silver,,,silver,,silver,,,,,,,,,,,silver,bronze,,,,silver,,,,bronze,,,gold,,,,,,,gold,
6,Alysha Clark,United States,,Washington Mystics,32,SF,PF,3 & D Wing,"5'11""",180,167,75,"6'3""",191,15,"July 7, 1987","Denver, Colorado",Middle Tennessee,73,76,93,77,85,86,40,75,78,75,85,69,67,85,85,80,51,71,25,25,57,54,69,34,70,55,66,51,68,51,41,72,78,84,53,45,82,80,85,46,36,55,25,78,2385,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,
7,Alyssa Thomas,United States,,Phoenix Mercury,25,PF,C,2-Way Inside-The-Arc Playmaker,"6'2""",188,190,86,"6'6""",198,11,"April 12, 1992","Harrisburg, Pennsylvania",Maryland,95,77,91,76,34,63,98,98,85,95,88,80,62,95,98,80,73,83,25,25,84,86,88,91,98,86,92,90,64,90,94,85,94,87,79,55,95,85,98,89,88,90,80,95,3014,,,,,,,,bronze,gold,hof,,silver,gold,hof,,,,silver,hof,hof,,bronze,hof,silver,hof,gold,bronze,,silver,gold,,gold,gold,silver,gold,hof,gold,silver,,silver
8,Angel Reese,United States,,Chicago Sky,5,PF,C,Defensive Anchor,"6'3""",191,185,83,"6'7""",201,1,"May 6, 2002",,LSU,90,73,68,65,45,74,98,90,84,74,64,93,79,98,98,80,67,68,25,25,71,65,88,94,98,64,82,71,61,71,37,78,88,61,59,65,90,88,98,95,98,91,98,90,2808,,,,,,,,,,,silver,,silver,,,,,,bronze,,,,,,,gold,,silver,gold,gold,,silver,gold,,gold,gold,hof,gold,silver,silver
9,Ariel Atkins,United States,,Chicago Sky,7,SG,SF,2-Way Sharpshooter,"5'10""",178,167,75,"6'2""",188,7,"July 30, 1996","Dallas, Texas",Texas,84,87,87,94,87,82,85,85,80,77,94,54,68,95,95,80,59,79,25,25,56,58,56,86,85,76,77,79,75,79,69,77,75,86,73,52,88,82,85,45,43,46,50,83,2695,silver,,bronze,silver,,,gold,,,,gold,,,,,,,,,,,,,,,gold,gold,,silver,gold,gold,gold,,gold,,,,,,
10,Arike Ogunbowale,United States,,Dallas Wings,24,SG,PG,2-Way 3-Level Combo Guard,"5'8""",173,165,74,"5'11""",180,6,"March 2, 1997","Milwaukee, Wisconsin",Notre Dame,89,89,74,80,92,92,98,98,83,82,86,74,74,95,92,80,65,84,25,25,68,64,63,94,95,84,85,95,81,88,73,78,64,84,97,37,88,93,85,44,37,51,80,92,2865,gold,bronze,hof,gold,gold,,gold,,gold,,gold,,,,,,gold,gold,,,hof,,bronze,,bronze,gold,silver,,bronze,hof,,silver,,,,,,,hof,
11,Astou Ndour-Fall,Spain,,Connecticut Sun,45,C,PF,2-Way Stretch Five,"6'5""",196,162,73,"6'9""",206,11,"August 22, 1994","Dekar, Senegal",Senegal,76,81,79,75,84,80,95,70,70,68,38,75,68,80,83,80,61,78,25,25,74,77,70,60,78,45,35,54,53,54,31,69,80,68,38,71,78,75,75,63,63,62,25,76,2400,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,silver
12,Azura Stevens,United States,,Los Angeles Sparks,23,PF,C,2-Way Inside-Out Threat,"6'6""",198,180,81,"6'10""",208,7,"February 1, 1996","Pawtucket, Rhode Island",Connecticut,84,82,88,57,82,77,98,89,71,60,38,84,61,89,88,80,66,75,25,25,85,70,75,75,98,48,38,51,48,51,54,74,79,65,59,76,82,69,85,62,49,75,98,82,2580,,,,gold,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Betnijah Laney-Hamilton,United States,,New York Liberty,44,SF,SG,3 & D Wing,"6'0""",183,166,75,"6'4""",193,10,"October 29, 1993","Clayton, Delaware",,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Breanna Stewart,United States,,New York Liberty,30,PF,SF,All-Around Star,"6'4""",193,170,77,"7'1""",216,9,"August 27, 1994","North Syracuse, New York",Connecticut,97,91,97,87,79,86,98,98,83,80,78,82,68,97,95,80,75,96,25,25,89,89,84,95,98,79,84,85,73,85,70,85,92,79,88,80,86,86,85,77,72,82,85,97,3055,gold,,,hof,gold,,gold,silver,hof,gold,gold,gold,gold,hof,,,,gold,gold,,,,bronze,,bronze,silver,silver,silver,silver,silver,gold,,hof,,gold,hof,,gold,gold,bronze
15,Bria Hartley,France,,Connecticut Sun,14,PG,SG,Shot-Creating Perimeter Threat,"5'9""",175,148,67,"6'0""",183,11,,,Connecticut,73,77,64,74,80,80,88,75,76,87,76,32,70,92,95,80,45,77,25,25,25,32,25,54,95,81,75,89,87,86,67,51,44,70,46,25,50,60,65,38,29,47,30,74,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Brianna Turner,United States,,Indiana Fever,11,C,PF,2-Way Mid-Range Threat,"6'3""",191,170,77,"6'7""",201,6,"July 5, 1996","Pearland, Texas",Notre Dame,74,65,84,77,27,80,77,45,75,65,68,78,61,83,88,80,52,67,25,25,61,48,64,44,80,43,37,47,48,47,34,72,82,57,59,81,79,74,75,64,55,72,40,78,2292,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,bronze,,,,,,,gold
17,Bridget Carleton,Canada,,Minnesota Lynx,6,SF,PF,Perimeter Shot Creator,"6'1""",185,179,81,"6'5""",196,6,"May 22, 1997","Chatham, Canada",Iowa State,81,82,79,83,94,80,98,60,71,66,55,64,60,85,88,80,54,75,25,25,51,50,50,60,98,66,70,75,63,75,49,49,55,58,46,45,45,55,40,46,44,47,85,80,2358,gold,silver,bronze,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Brionna Jones,United States,,Atlanta Dream,24,PF,C,2-Way Inside-The-Arc Menace,"6'3""",191,210,95,"6'7""",201,8,"December 18, 1995","Harve de Grace, Maryland",Maryland,89,81,94,92,26,76,98,98,78,52,62,91,71,95,95,80,75,88,25,25,92,90,94,89,98,56,60,64,47,64,45,80,85,60,80,58,91,85,98,74,73,75,98,90,2804,,,,,,,gold,gold,silver,gold,hof,gold,gold,gold,,,,,,,,,,,,,,,silver,silver,,,silver,silver,silver,gold,silver,gold,,bronze
19,Brittney Griner,United States,,Atlanta Dream,42,C,,2-Way Inside-The-Arc Threat,"6'9""",206,205,92,"7'1""",216,12,"October 18, 1990","Houston, Texas",Baylor,89,83,96,70,59,79,98,98,80,69,70,96,54,95,95,80,75,89,25,30,92,88,93,87,95,62,54,70,54,70,63,78,88,75,37,87,89,82,90,77,74,79,98,92,2860,,,,,,,,gold,,gold,silver,gold,hof,hof,,,,,,,,,,,,,,gold,,bronze,gold,,hof,,hof,gold,gold,gold,,gold
20,Brittney Sykes,United States,,Seattle Storm,20,SG,SF,Defensive Menace,"5'9""",175,154,69,"6'0""",183,8,"February 7, 1994","Newark, New Jersey",Syracuse,84,76,89,57,74,68,89,80,79,86,90,48,74,80,95,80,55,84,25,25,40,48,49,80,89,78,77,75,86,75,79,80,69,87,91,47,87,92,85,50,41,59,98,85,2683,,,,,bronze,,bronze,,,,,,,,,,,,,bronze,,,silver,silver,,gold,bronze,,gold,silver,silver,gold,,gold,,,,,,bronze
21,Caitlin Clark,United States,,Indiana Fever,22,PG,SG,2-Way Inside-Out Playmaker,"6'0""",183,170,77,"6'4""",193,1,"January 12, 2002",,Iowa,96,93,92,86,97,90,98,95,83,89,90,59,67,97,96,80,54,89,25,25,30,35,35,93,98,94,97,95,89,96,95,70,39,85,59,56,82,82,85,47,31,63,98,99,2817,gold,hof,silver,silver,gold,,silver,,,,,,,,,,silver,hof,silver,hof,silver,bronze,,,gold,silver,,,bronze,silver,silver,bronze,,,,,,,,
22,Cameron Brink,United States,,Los Angeles Sparks,22,PF,C,2-Way Stretch Four,"6'4""",193,170,77,"6'8""",203,1,"December 31, 2001",,Stanford,80,81,84,79,79,84,75,85,76,64,61,77,70,90,88,80,60,75,25,25,75,60,77,72,70,54,51,59,49,59,50,77,84,63,65,94,80,65,85,74,67,80,70,95,2611,,,,,,,,bronze,,,bronze,bronze,,silver,,,,,,,,,,,,,,gold,silver,,,,bronze,,silver,silver,,,,bronze
23,Cecilia Zandalasini,,,Golden State Valkyries,24,SF,,Catch & Shoot Ace,"6'2""",188,175,79,"6'6""",198,,,,Italy,76,75,70,84,91,62,88,55,79,78,78,75,67,84,90,80,44,66,25,25,38,42,39,36,81,58,61,55,69,55,50,59,42,72,43,51,72,70,60,40,31,48,70,88,2291,bronze,,bronze,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Charisma Osborne,United States,,Phoenix Mercury,24,PG,,Perimeter Defender,"5'9""",175,166,75,"6'0""",183,1,"July 3, 2001",,UCLA,71,65,71,64,70,62,75,50,72,81,71,39,65,80,85,80,48,85,25,25,28,29,40,75,80,70,71,65,79,65,71,63,42,75,67,35,74,71,80,38,32,43,80,75,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chelsea Gray,United States,,Las Vegas Aces,12,PG,SG,2-Way 3-Level Playmaker,"5'11""",180,170,77,"6'3""",191,11,"October 8, 1992","Hayward, California",Duke,86,85,91,80,81,79,90,90,80,90,88,68,67,90,80,80,50,89,25,25,31,43,42,60,85,88,86,92,90,92,78,69,54,86,53,62,78,74,75,40,29,50,40,86,2599,,bronze,,,gold,,bronze,,bronze,,,,,,,,hof,,,gold,gold,gold,gold,hof,gold,bronze,,,silver,bronze,silver,gold,,gold,,,,,,
26,Cheyenne Parker-Tyus,United States,,Las Vegas Aces,32,PF,C,2-Way Inside-The-Arc Threat,"6'4""",193,193,87,"6'8""",203,10,"August 22, 1992","Queens, New York",Middle Tennessee,84,83,86,81,56,89,98,85,76,71,65,81,63,84,86,80,69,83,25,25,83,79,81,84,95,58,59,60,54,60,58,73,84,57,66,70,79,75,80,66,60,72,98,94,2706,,,,,,,,bronze,,bronze,silver,silver,silver,gold,,,,,,,,,,,,,,silver,silver,,,,silver,,bronze,,bronze,,,
27,Courtney Vandersloot,United States,,Chicago Sky,22,PG,,2-Way Inside-The-Arc Playmaker,"5'8""",173,137,62,"5'11""",180,14,"February 8, 1989","Kent, Washington",Gonzaga,81,69,85,79,67,50,40,95,80,84,78,55,70,95,95,80,48,90,25,25,25,40,28,70,84,88,84,91,84,95,86,67,55,81,46,55,77,78,75,41,35,47,25,89,2463,,,,gold,,,gold,,silver,,silver,,,,,,silver,gold,silver,gold,gold,gold,,gold,gold,,,,,,,,,,,,,,,
28,Courtney Williams,United States,,Minnesota Lynx,10,SG,PG,2-Way Perimeter Combo Guard,"5'8""",173,139,63,"5'11""",180,9,"May 11, 1994","Folkston, Georgia",South Florida,84,82,78,88,80,80,85,80,79,77,75,68,65,95,95,80,52,70,25,25,44,45,40,82,85,85,89,89,73,89,87,69,62,82,53,51,79,82,75,49,32,66,40,90,2601,silver,bronze,silver,,silver,,,,bronze,,,,,,,,gold,silver,,silver,silver,gold,,,silver,,,,,,,,,,,,,,gold,
29,Crystal Dangerfield,United States,,Los Angeles Sparks,14,PG,SG,Rim Attacker,"5'5""",165,130,59,"5'8""",173,5,"May 11, 1998","Murfeesboro, Tennessee",Connecticut,71,72,84,65,68,93,60,60,75,89,82,41,68,80,85,80,46,88,25,25,37,32,38,74,50,82,82,82,89,82,73,53,30,72,43,49,60,70,50,34,26,42,50,78,2302,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Damiris Dantas,Brazil,,Indiana Fever,12,PF,C,Versatile Defender,"6'3""",191,214,96,"6'7""",201,13,,,Brazil,74,71,78,80,76,73,70,50,75,69,80,68,64,90,75,80,60,74,25,25,65,71,76,54,86,61,61,59,60,59,64,61,82,71,32,32,77,61,75,58,47,68,35,79,2391,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,silver,,
31,Dana Evans,United States,,Las Vegas Aces,11,SG,PG,Perimeter Shot Creator,"5'6""",168,145,65,"5'9""",175,4,"August 1, 1998","Gary, Indiana",Louisville,76,84,79,73,82,97,95,75,72,84,78,33,65,92,75,80,48,79,25,25,30,42,40,55,85,79,80,79,84,79,72,56,33,62,63,40,68,67,60,34,29,38,98,81,2422,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Dearica Hamby,United States,,Los Angeles Sparks,5,PF,C,3-Level Scoring Board Hunter,"6'3""",191,189,85,"6'7""",201,10,"November 6, 1993","Marietta, Georgia",Wake Forest,89,84,93,70,86,61,98,95,79,82,75,62,72,90,92,80,70,84,25,25,79,78,74,94,98,76,75,78,81,78,70,70,75,77,66,49,68,78,80,81,73,89,98,89,2837,silver,,silver,gold,bronze,,silver,silver,gold,,gold,gold,,silver,,,,,bronze,,,,,,,,,,,,,,silver,,,gold,bronze,bronze,,
